player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
46e5d86be161,עדן רוטברג,אליצור נוה דוד רמלה,2100,11,1,1,27.0,7.0,1.0,7.0,14.3,0.0,5.0,0.0,1.0,2.0,50.0,4.0,4.0,100.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0
49c625f6b3ca,אופיר קסטן,בנות פתח תקווה,181,11,1,1,29.0,8.0,3.0,9.0,33.3,2.0,5.0,40.0,1.0,4.0,25.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0
4b04c0244712,מאיה זילברשלג,מכבי אשדוד נשים,194,11,2,0,20.0,8.0,3.0,5.5,54.5,2.0,4.0,50.0,1.0,1.5,66.7,1.0,1.0,100.0,2.0,0.0,2.0,1.0,0.5,2.0,3.0,1.5,1.0,0.5,6.0
4cce6d14f1e0,קרולין ליטלפילד,אליצור חולון,907,11,1,1,32.0,15.0,4.0,9.0,44.4,1.0,5.0,20.0,3.0,4.0,75.0,4.0,4.0,100.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,5.0,0.0,1.0,19.0
4ed49994af31,גל כהן,מכבי אשדוד נשים,194,11,2,0,4.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5
51725b3f28ff,בויאנה קובסביץ,בנות פתח תקווה,181,11,1,1,32.0,3.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,2.0,50.0,3.0,2.0,5.0,6.0,2.0,3.0,2.0,3.0,0.0,0.0,10.0
518e1bcc9d2d,נועה מגד,הפועל לב ירושלים פארק בית הכרם,7735,11,2,1,14.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,50.0,1.5,1.0,2.5,1.0,0.0,0.5,2.5,0.5,0.0,0.5,-0.5
52d7cf6d9800,מיליצה יובנוביץ,מכבי אשדוד נשים,194,11,2,1,15.5,6.0,2.5,6.5,38.5,1.5,3.0,50.0,1.0,3.5,28.6,0.0,0.0,0.0,1.5,0.5,2.0,0.5,1.5,1.5,1.5,0.5,0.5,0.0,4.0
549ca12ca468,קירה למברט,אליצור נוה דוד רמלה,2100,11,1,1,30.0,10.0,4.0,6.0,66.7,4.0,5.0,80.0,0.0,1.0,0.0,2.0,2.0,100.0,4.0,1.0,5.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,10.0
55ecf0be1a32,פאולה סטאוטמן,מכבי עירוני רמת גן,210,11,2,2,29.5,9.5,3.5,7.5,46.7,3.5,5.0,70.0,0.0,2.5,0.0,2.5,3.5,71.4,8.5,7.0,15.5,3.0,0.5,4.0,3.0,2.5,2.0,0.0,21.0
56c7b4ae15b1,רומי אלבז,הפועל ראשון לציון,520,11,2,0,13.5,0.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,-3.0
57a854675e35,ניצן עמאר,מכבי כרמיאל,1219,11,1,1,37.0,11.0,4.0,11.0,36.4,2.0,6.0,33.3,2.0,5.0,40.0,1.0,2.0,50.0,7.0,3.0,10.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,12.0
5992ddcaf58a,אומו דיאלו,אליצור חולון,907,11,2,1,26.0,13.0,6.0,9.0,66.7,6.0,9.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.5,1.5,2.0,0.0,1.5,3.0,4.5,0.5,0.5,12.5
61cf5c58acf0,אנסטסיה בולדירבה,הפועל ראשון לציון,520,11,2,2,26.5,8.5,4.0,7.5,53.3,3.5,5.0,70.0,0.5,2.5,20.0,0.0,0.0,0.0,8.5,3.0,11.5,2.0,2.0,1.5,3.0,1.0,2.5,0.0,19.5
627a38bb7659,דריה סמרו,מכבי עירוני רמת גן,210,11,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62fe50401b11,ניקה באריץ,הפועל באר שבע/דימונה,10197,11,1,1,27.0,11.0,4.0,9.0,44.4,1.0,4.0,25.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0,10.0
679b5baff4b7,סטפני וואטס,מכבי אשדוד נשים,194,11,2,2,30.0,12.0,4.0,12.0,33.3,2.0,6.5,30.8,2.0,5.5,36.4,2.0,2.5,80.0,1.0,2.0,3.0,2.0,2.0,1.5,2.5,4.0,1.5,0.5,11.5
67fc52b26cde,מיקיה האריגן,אליצור נוה דוד רמלה,2100,11,1,1,31.0,17.0,6.0,15.0,40.0,6.0,12.0,50.0,0.0,3.0,0.0,5.0,5.0,100.0,7.0,1.0,8.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,17.0
6cd1d8578b06,כריסטינה יסמ היגינס,מכבי חיפה הפניקס,864,11,2,2,21.0,6.5,3.0,5.0,60.0,3.0,4.5,66.7,0.0,0.5,0.0,0.5,1.5,33.3,5.0,0.5,5.5,1.5,0.0,1.0,3.0,1.0,0.0,0.0,7.5
