league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
1,1_741669,לאומית,741669,יום שלישי,02/12/2025,9,18:30,א.ס. עירוני אשקלון,920,מכבי קרית גת,3043,"שד' בן גוריון 37, אשקלון",,
1,1_741664,לאומית,741664,יום שלישי,02/12/2025,9,18:45,הפועל אילת,1278,"א.ס רמה""ש",585,"אולם בגין, רח' הספורטאים 1, אילת",,
1,1_741670,לאומית,741670,יום שלישי,02/12/2025,9,19:00,מכבי חיפה,69,אליצור שומרון,4083,"היכל הספורט רוממה, חיפה",,
1,1_741667,לאומית,741667,יום שלישי,02/12/2025,9,19:00,הפועל מגדל העמק/יזרעאל,2267,מ.כ עוטף דרום,12645,"ביה""ס יערת העמק, מגדל העמק",,
1,1_741665,לאומית,741665,יום שלישי,02/12/2025,9,19:15,אליצור יבנה,168,מכבי מעלה אדומים,3745,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
1,1_741666,לאומית,741666,יום שלישי,02/12/2025,9,19:15,מכבי אשדוד,7261,הפועל חיפה,4153,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
1,1_741671,לאומית,741671,יום שלישי,02/12/2025,9,19:30,מכבי פתח תקווה,42,מכבי רחובות,75,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
1,1_741668,לאומית,741668,יום שלישי,02/12/2025,9,19:30,מ.ס צפת,4818,הפועל נהריה,26,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
1,1_741676,לאומית,741676,יום שישי,05/12/2025,10,12:30,הפועל אילת,1278,אליצור יבנה,168,"אולם בגין, רח' הספורטאים 1, אילת",,
1,1_741675,לאומית,741675,יום שישי,05/12/2025,10,12:30,מכבי מעלה אדומים,3745,מכבי אשדוד,7261,"רח' דרך הגיא 5, מעלה אדומים",,
1,1_741679,לאומית,741679,שבת,06/12/2025,10,20:00,"א.ס רמה""ש",585,מכבי רחובות,75,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
1,1_741674,לאומית,741674,שבת,06/12/2025,10,20:00,הפועל חיפה,4153,הפועל מגדל העמק/יזרעאל,2267,"היכל הספורט רוממה, חיפה",,
1,1_741678,לאומית,741678,שבת,06/12/2025,10,20:30,מכבי קרית גת,3043,מכבי חיפה,69,"רח' אבני החושן, קרית גת",,
1,1_741677,לאומית,741677,שבת,06/12/2025,10,20:30,אליצור שומרון,4083,מכבי פתח תקווה,42,"ישיבת אמית, ברוכין",,
