Team_ID,League_ID,Team_Name,short_name,bg_color,text_color,name_variations
7933,9,עצמה מודיעין,עצמה מודיעין,#FF6600,#FFFFFF,עצמה מודיעין
2060,9,הפועל גלבוע מעיינות,הפועל גלבוע מעיינות,#990000,#FFFFFF,הפועל גלבוע מעיינות|הפועל גלבוע-מעיינות|הפועל גלבוע/מעיינות
12,10,מכבי רמת גן,מכבי ר"ג,#FF6600,#4169E1,מכבי קבוצת כנען רמת גן|מכבי כנען רמת גן|מכבי רמת גן
2556,10,הפועל תל אביב,הפועל IBI,#CC0000,#FFFFFF,"הפועל IBI תל אביב|הפועל IBI ת""א|הפועל איי.בי.איי תל אביב"
38,10,הפועל ירושלים,הפועל יהב,#CC0000,#000000,הפועל בנק יהב ירושלים|הפועל בנק יהב י-ם|הפועל יהב י-ם|הפועל ירושלים|הפועל י-ם
17,10,מכבי תל אביב,מכבי Rapyd,#FFFF00,#0000FF,"מכבי Rapyd תל אביב|מכבי רפיד תל אביב|מכבי ת""א"
1405,10,הפועל גליל עליון,הפועל Rivulis,#FFFFFF,#CC0000,הפועל Rivulis גליל עליון|הפועל ריבוליס גליל עליון|הפועל גליל עליון
145,10,מכבי רעננה,מכבי רעננה,#FFFFFF,#0066FF,מכבי אב־גד רעננה|מכבי אב-גד רעננה|מכבי רעננה
20,10,הפועל העמק,הפועל העמק,#CC0000,#FFFFFF,הפועל גילת טלקום העמק|הפועל העמק|גילת טלקום העמק|הפועל גילת העמק
788,10,אליצור נתניה,אליצור נתניה,#000000,#FFFF00,אליצור BRIGA נתניה|אליצור בריגה נתניה|אליצור נתניה
3361,10,הפועל באר שבע/דימונה,הפועל ב"ש,#CC0000,#FFFFFF,"הפועל אלטשולר שחם באר שבע/דימונה|הפועל אלטשולר באר שבע|הפועל אלטשולר שחם ב""ש/דימונה|הפועל באר שבע"
1305,10,עירוני נס ציונה,עירוני נ"צ,#FF6600,#000080,עירוני חי מוטורס נס ציונה|עירוני נס ציונה|חי מוטורס נס ציונה
120,10,עירוני קריית אתא,עירוני ק"א,#006B7D,#FFFFFF,עירוני לאטי קריית אתא|עירוני קריית אתא|לאטי קריית אתא
81,10,מכבי ראשון לציון,מכבי ראשל"צ,#FF6600,#FFFFFF,"מכבי תפוזינה ראשון לציון|מכבי ראשל""צ|מכבי ראשון לציון"
10,10,הפועל חולון,הפועל חולון,#800080,#FFFF00,הפועל נתנאל חולון|הפועל קבוצת נתנאל חולון|הפועל חולון
1535,10,בני הרצליה,בני הרצליה,#0000FF,#FFFFFF,בני Penlink הרצליה|בני פנלינק הרצליה|בני הרצליה
