game_id,league_id,team,team_id,opponent,opponent_id,game_date,quarter,score,score_against
11_741335,11,מכבי עירוני רמת גן,,בנות פתח תקווה,181.0,09/10/2025,Q4,24,10
11_741334,11,הפועל ראשון לציון,,מכבי חיפה הפניקס,,09/10/2025,Q1,16,18
11_741334,11,הפועל ראשון לציון,,מכבי חיפה הפניקס,,09/10/2025,Q2,19,16
11_741334,11,הפועל ראשון לציון,,מכבי חיפה הפניקס,,09/10/2025,Q3,23,15
11_741334,11,הפועל ראשון לציון,,מכבי חיפה הפניקס,,09/10/2025,Q4,16,21
11_741334,11,מכבי חיפה הפניקס,,הפועל ראשון לציון,,09/10/2025,Q1,18,16
11_741334,11,מכבי חיפה הפניקס,,הפועל ראשון לציון,,09/10/2025,Q2,16,19
11_741334,11,מכבי חיפה הפניקס,,הפועל ראשון לציון,,09/10/2025,Q3,15,23
11_741334,11,מכבי חיפה הפניקס,,הפועל ראשון לציון,,09/10/2025,Q4,21,16
11_741336,11,אליצור חולון,,אליצור נוה דוד רמלה,2100.0,09/10/2025,Q1,18,20
11_741336,11,אליצור חולון,,אליצור נוה דוד רמלה,2100.0,09/10/2025,Q2,10,19
11_741336,11,אליצור חולון,,אליצור נוה דוד רמלה,2100.0,09/10/2025,Q3,19,13
11_741336,11,אליצור חולון,,אליצור נוה דוד רמלה,2100.0,09/10/2025,Q4,23,13
11_741336,11,אליצור נוה דוד רמלה,2100.0,אליצור חולון,,09/10/2025,Q1,20,18
11_741336,11,אליצור נוה דוד רמלה,2100.0,אליצור חולון,,09/10/2025,Q2,19,10
11_741336,11,אליצור נוה דוד רמלה,2100.0,אליצור חולון,,09/10/2025,Q3,13,19
11_741336,11,אליצור נוה דוד רמלה,2100.0,אליצור חולון,,09/10/2025,Q4,13,23
